name,description,signature,threat_score,color,background_color,link,CVE,CVSS,,
'PHP connector' Command Injection,"it is exploiting a Command Injection vulnerability in elFinder PHP connector to upload a malicious image that, when processed, triggers the execution of arbitrary commands on the server. ",SecSignal\.php\?c=,10,#000000,#ff000040,https://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2019-9194,2019-9194,9.8,,
Cisco RV320 Dual Gigabit WAN VPN Router,this vulnerability allows an attacker with administrative access to the router's web interface to execute arbitrary operating system commands on the device.,a'\$\(ping\s+-c\s+4\s+[\d\.]+\)'b,10,#000000,#ff000040,https://nvd.nist.gov/vuln/detail/CVE-2019-1652,2019-1652,7.2,,
20161228 - Authenticated Command Injection,this vulnerability allows an attacker to remotely execute arbitrary commands on the underlying system by injecting malicious commands into the ip parameter of the activities_overview.php page.,"<input\s+type=""hidden""\s+name=""ip""\s+value=""[^""]*\|[^""]*nc\s+-nlvp\s+\d+\.\d+\.\d+\.\d+\s+\d+\s+-e\s+/bin/bash""[^>]*>",10,#000000,#ff000040,https://nvd.nist.gov/vuln/detail/CVE-2018-15877,2018-15877,8.8,,
4.0.3 - OS Command Injection,this vulnerability allows an attacker to remotely execute arbitrary commands on the target system by injecting malicious commands ,/softnas/snserver/snserv\.php\?opcode=checkupdate&opcode=executeupdate&selectedupdate=[\d\.]+&update_type=standard&recentVersions=[\d\.]+;echo\+[\w%]+\|base64+-d+\|sudo+bash;,10,#000000,#ff000040,https://nvd.nist.gov/vuln/detail/CVE-2018-14417,2018-14417,9.9,,
3.1.2 - Command Injection,this exploit targets multiple unauthenticated command injection vulnerabilities in the VMware NSX SD-WAN by VeloCloud application. ,"/destination=\d{1,3}\.\d{1,3}\.\d{1,3}\.\d{1,3}\$\(cat\s\/etc\/shadow\s\|\snc\s\d{1,3}\.\d{1,3}\.\d{1,3}\.\d{1,3}\s\d{1,5}\)\&source=\w+\&test=\w+\&requestTimeout=\d+\&auth_token=\&\_cmd=run_diagnostic/",10,#000000,#ff000040,https://nvd.nist.gov/vuln/detail/CVE-2018-6961,2018-6961,8.1,,
 Wiki 8.3 < 9.6.99.86 - Command Injection,the attacker attempts to use the SyntaxHighlighter plugin directive to inject malicious commands.,"<\?plugin\s+SyntaxHighlighter\s+syntax=""[^""]+""\s+code to be highlighted\s+\?>",10,#000000,#ff000040,https://nvd.nist.gov/vuln/detail/CVE-2017-7981,2017-7981,8.8,,
4.2.4 build - Command Injection,The provided attack involves exploiting multiple Command Injection vulnerabilities in QNAP QTS firmware. ,\/cgi-bin\/authLogin\.cgi\?reboot_notice_msg=.*?\(.*?;.*?\),10,#000000,#ff000040,https://nvd.nist.gov/vuln/detail/CVE-2017-6361,2017-6361 2017-6360 2017-6359,9.8,,
4.2.4 build - Command Injection,The provided attack involves exploiting multiple Command Injection vulnerabilities in QNAP QTS firmware. ,\/cgi-bin\/userConfig\.cgi\?.*?hash=`\(.*?\)`,10,#000000,#ff000040,https://nvd.nist.gov/vuln/detail/CVE-2017-6361,2017-6361 2017-6360 2017-6359,9.8,,
4.2.4 build - Command Injection,The provided attack involves exploiting multiple Command Injection vulnerabilities in QNAP QTS firmware. ,\/cgi-bin\/filemanager\/utilRequest\.cgi\?.*?pid=`\(.*?\)`,10,#000000,#ff000040,https://nvd.nist.gov/vuln/detail/CVE-2017-6361,2017-6361 2017-6360 2017-6359,9.8,,
 4.6/4.7 - Command Injection,Arbitrary OS commands can be executed from batchimport.php.,"GET /batchimport\.php\?directory=[^&]+&commence=&user=""||[^""]+||""",10,#000000,#ff000040,N/A,N/A,N/A,,
 4.6/4.7 - Command Injection,Allows an attacker to send HTTP requests originating from the web server.,POST /ajaxsupplement\.php\?form_new_file_link=http://[^&]+&new_password1=[^&]+&new_password2=[^&]+,10,#000000,#ff000040,N/A,N/A,N/A,,
 4.6/4.7 - Command Injection,Allows enumeration of directories on the server.,POST /jqueryFileTree\.php\?dir=[^&]+,10,#000000,#ff000040,N/A,N/A,N/A,,
 4.6/4.7 - Command Injection,Allows injection of malicious client-side scripts.,GET /temp\.php\?tempfile=,10,#000000,#ff000040,N/A,N/A,N/A,,
2.27 - Authenticated Command Injection ,Authenticated Command Injection,POST /cgi-bin/firmware_cgi\?action=setautoupdate&auto_update=off&update_time=[^&]+&_=\d{13},10,#000000,#ff000040,https://nvd.nist.gov/vuln/detail/CVE-2019-6275,2019-6275 2019-6274 2019-6273 2019-6272,8.8,,
2.27 - Authenticated Command Injection ,Authenticated Arbitrary File Download,GET /cgi-bin/download_file\?/mnt/[^&]+,10,#000000,#ff000040,https://nvd.nist.gov/vuln/detail/CVE-2019-6275,2019-6275 2019-6274 2019-6273 2019-6272,8.8,,
